state_id,domain,entity_id,state,attributes,event_id,last_changed,last_updated,created,old_state_id,attributes_id,origin_idx,context_id,context_user_id,context_parent_id,last_updated_ts,last_changed_ts
216704361,NULL,sensor.water_tank_liters,8893,NULL,NULL,NULL,2023-01-18 11:52:29.802176,NULL,216704331,29,0,01GQ2BJCV9GPQKPFA1XS1BD3EK,NULL,NULL,1674042749.80218,NULL
215385761,NULL,sensor.water_tank_liters,8918,NULL,NULL,NULL,2023-01-15 09:46:48.088535,NULL,215385676,29,0,01GPTD62WQC80FPP5H2CSMXXE0,NULL,NULL,1673776008.08854,NULL
218983959,NULL,sensor.water_tank_liters,8913,NULL,NULL,NULL,2023-01-23 09:22:56.837030,NULL,218983914,29,0,01GQEZ0562HZTWM40MFS129PS0,NULL,NULL,1674465776.83703,NULL
225043904,NULL,sensor.water_tank_liters,8920,NULL,NULL,NULL,2023-02-05 07:54:24.920217,NULL,225043767,29,0,01GRG93CRPH758F28NQ2RDB9PZ,NULL,NULL,1675583664.92022,NULL
239093108,NULL,sensor.water_tank_liters,8832,NULL,NULL,NULL,NULL,NULL,239092963,29,0,01GTNZJKAT3MVNN8GGRXBWMF29,NULL,NULL,1677922487.64309,NULL
241846508,NULL,sensor.water_tank_liters,8904,NULL,NULL,NULL,NULL,NULL,241846465,29,0,01GV3CT8NMAFJHP0ZRNHAD94AN,NULL,NULL,1678372577.97366,NULL
232491552,NULL,sensor.water_tank_liters,8902,NULL,NULL,NULL,NULL,NULL,232491431,29,0,01GSMRSQPJ8NWYB1536858CYBS,NULL,NULL,1676808085.20415,NULL
231855951,NULL,sensor.water_tank_liters,7814,NULL,NULL,NULL,NULL,NULL,231855928,29,0,01GSHMFRQ1WKY41PVEXYSNZR15,NULL,NULL,1676702900.9624,NULL
237502784,NULL,sensor.water_tank_liters,8917,NULL,NULL,NULL,NULL,NULL,237502744,29,0,01GTE67D8KJ1X81M7N8HGF4CJP,NULL,NULL,1677661025.55614,NULL
218534628,NULL,sensor.water_tank_liters,8908,NULL,NULL,NULL,2023-01-22 09:31:09.551566,NULL,218534583,29,0,01GQCD2FBEQ0A99YPN1ED51VZK,NULL,NULL,1674379869.55157,NULL
223417013,NULL,sensor.water_tank_liters,5681,NULL,NULL,NULL,2023-02-02 00:58:58.602966,NULL,223416969,29,0,01GR7T4HNAK30XN4NHNHS1SKSW,NULL,NULL,1675299538.60297,NULL
231724025,NULL,sensor.water_tank_liters,8296,NULL,NULL,NULL,NULL,NULL,231723991,29,0,01GSH16JB0GSB6RMY4PCAXBES5,NULL,NULL,1676682676.57929,NULL
